name,price,profit
Share-YNWM,9.94,28.25
Share-JREW,9.93,15.05
Share-BVQQ,9.87,20.53
Share-JPLO,9.81,30.98
Share-SLGB,9.77,21.69
Share-KZFS,9.73,10.84
Share-YZOF,9.65,12.6
Share-ALZI,9.61,28.14
Share-FTYF,9.56,31.54
Share-EPWT,9.54,08.07
Share-QPFG,9.52,32.39
Share-SFMP,9.48,17.94
Share-VEEM,9.47,15.79
Share-TVOJ,9.39,23.34
Share-XJMO,9.39,39.98
Share-EJXB,9.32,02.01
Share-USUF,9.25,27.69
Share-OUGA,8.99,7.35
Share-TXHQ,8.97,36.74
Share-NLNW,8.95,8.85
Share-EMOV,8.89,39.52
Share-QSQG,8.68,37.32
Share-HJFD,8.61,16.15
Share-PFOA,8.54,19.08
Share-DAPD,8.47,6.66
Share-IUVO,8.47,13.86
Share-NLPL,8.45,22.64
Share-QKFA,8.37,7.7
Share-LKBB,8.28,13.4
Share-CGUS,8.27,37.38
Share-DRZA,8.24,17.26
Share-NDNV,8.19,34.97
Share-SORI,7.97,20.13
Share-OHTK,7.76,15.36
Share-UPTV,7.59,20.07
Share-ONRM,7.48,17.87
Share-PAXZ,7.22,0.82
Share-AIRL,7.19,31.28
Share-HYQP,7.15,25.71
Share-MKZB,6.97,33.89
Share-ZNKU,6.96,38.77
Share-VQHA,6.93,14.16
Share-WQLH,6.75,1.55
Share-QVQY,6.53,15.23
Share-KTGN,6.41,25.37
Share-EMCQ,6.37,20.46
Share-HQWX,6.35,6.39
Share-SIZB,6.13,23.12
Share-VTWL,5.98,21.69
Share-UMGT,5.97,1.28
Share-GQZA,5.86,12.81
Share-AXIX,5.73,33.7
Share-YPHD,5.72,9.91
Share-OODL,5.61,0.6
Share-PBXL,5.46,36.76
Share-AZTU,5.43,22.32
Share-HIGA,5.34,31.01
Share-VBED,5.32,15.37
Share-OLMP,5.32,35.86
Share-JKZM,5.26,17.88
Share-RNXT,5.14,28.45
Share-GRUT,498.76,39.42
Share-PWWS,49.36,14.37
